DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e1|null|h1_lemma=increase|h2_lemma=aggregation|h1_tag=VB|h2_tag=NN|path=anticoagulant>compound>compound>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e2|null|h1_lemma=increase|h2_lemma=drug|h1_tag=VB|h2_tag=NNS|path=anticoagulant>amod>nmod>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e3|null|h1_lemma=increase|h2_lemma=drug|h1_tag=VB|h2_tag=NNS|path=anticoagulant>dep>nmod>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e4|null|h1_lemma=increase|h2_lemma=drug|h1_tag=VB|h2_tag=NNS|path=anticoagulant>conj>nmod>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e5|effect|h1_lemma=increase|h2_lemma=administer|h1_tag=VB|h2_tag=VBN|path=nsubj<increase>obl>dep>advmod|lemmainbetween=increase|lemmainbetween=administer
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e1|DDI-DrugBank.d105.s0.e2|null|h1_lemma=aggregation|h2_lemma=drug|h1_tag=NN|h2_tag=NNS|path=compound<compound<inhibitor>amod>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e1|DDI-DrugBank.d105.s0.e3|null|h1_lemma=aggregation|h2_lemma=drug|h1_tag=NN|h2_tag=NNS|path=compound<compound<inhibitor>dep>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e1|DDI-DrugBank.d105.s0.e4|null|h1_lemma=aggregation|h2_lemma=drug|h1_tag=NN|h2_tag=NNS|path=compound<compound<inhibitor>conj>nmod
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e1|DDI-DrugBank.d105.s0.e5|effect|h1_lemma=aggregation|h2_lemma=administer|h1_tag=NN|h2_tag=VBN|path=compound<compound<conj<nmod<nsubj<increase>obl>dep>advmod|lemmainbetween=increase|lemmainbetween=administer
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e2|DDI-DrugBank.d105.s0.e3|null|h1_lemma=drug|h2_lemma=drug|h1_tag=NNS|h2_tag=NNS|path=amod<drug>dep
DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e2|DDI-DrugBank.d105.s0.e4|null|h1_lemma=drug|h2_lemma=drug|h1_tag=NNS|h2_tag=NNS|path=amod<drug>conj
